Title,Creators,Genre,Rating,Likes,Subscribers,Views,Synopsis
 This Wasn't My Plan,"BOM SOHEE, SEI KIM",romance,8.60,509745.0,126211.0,5139129.0,"In a twist of fate, Ro-a finds herself thrown back a decade in time. This isn't just a trip down memory lane. She's faced with a younger, naive Sihyeon, the future superstar who would brutally wrong her. Armed with knowledge of what's to come, Ro-a sees a golden opportunity: a chance to rewrite their history. Can she resist the allure of revenge and change Sihyeon's destiny before he becomes her nightmare?
"
#Blessed,M. Victoria Robado,drama,9.18,2055736.0,438390.0,22430919.0,"Joanna is a mid-twenties office girl who likes social media and watered down coffee. While griping about her love life, she accidentally swiped right on a whole Pantheon of Gods and Goddesses! Looking to fulfill an ancient prophecy, only one of them will be able to claim Joanna as their own... after a nice dinner, that is!"
#Killstagram,Ryoung,thriller,9.31,3816843.0,933881.0,45459497.0,"Remi Do has everything -- she's super pretty, has the best brand sponsorships on social media, and gets 10,000 likes within seconds of posting a selfie. Oh, and she also has a serial-killing stalker following her every move."
#muted,kandismon,romance,9.12,515668.0,190216.0,4736547.0,"Jasper's heart lights up when he meets Kai, a boy who doesn't speak, and life becomes a little less lonely for them both. But when old wounds threaten to reopen, their ever-growing connection is put to the test. Will the silence stand in the way of their love, or will they find a way to communicate the feelings they both have?

This series contains themes regarding mental health that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."
'Til Debt Do Us Part,"Flowbee, janggreen",romance,9.70,2299546.0,533458.0,26536673.0,"Subin's mom routinely pays for matchmakers to set her up on dates. Subin turns them all down, one after another. One day she runs into an old friend from school, and things start to get complicated when he suddenly asks her to marry him. Is he the answer to her prayers or a devil in disguise? Will she take this chance to clear her debt?"
+99 Reinforced Wooden Stick,"HONGSIL, JIPERY",comedy,9.27,3279450.0,647063.0,46385066.0,"Welcome to “Chrono Life,” a virtual reality game where only the strongest survive.
Ji-u logs in to “Chrono Life,” only to be ignored and ridiculed by the other players for his lack of experience, crappy items, and being an overall noob.
But when he upgrades his wooden stick to the max reinforcement level of +99, Ji-u realizes he has the power to split continents and slay armies of thousands in just one swing.
“It’s time to teach the rest of you a lesson, you f*ckers.”"
1 Second,"kwang woon, sini",action,9.63,1091942.0,123223.0,7453573.0,Every second counts when you're a first responder. But what if you could see a glimpse into the future? Hosu is a firefighter with the supernatural ability to do just that. There’s just one catch. It only works when he feels extreme stress under pressure. Will knowing what will happen ahead of time help Hosu extinguish fires before they completely destroy homes and lives? And will he learn to wield his ability when he needs it most?
100,"Hyeong Eun, Yunyeol Choi",action,9.18,285891.0,129924.0,2662857.0,"Armed only with a gun and a frying pan, Hoyoung Cheon must survive Battlegrounds: a battle-royale style game with 100 participants, where there’s only one way to win: kill the 99 other players, all of them death-row convicts. Hoyoung has another objective besides survival, though -- he must find an assemblyman who was captured while investigating the game, and is now an unwilling participant. Can Hoyoung complete his mission on an island with 99 people willing to kill to survive, and emerge the last one standing?"
1000,"Chuck Brown, Sanford Greene",action,8.98,84218.0,108224.0,1515168.0,"Set in a modern world of aliens, warlocks, zombies, and ancient beasts, ""1000"" follows Dragon Son - a supreme entity who's abandoned all creation as he struggles to return to his true Dragon form by completing 1,000 acts of repentance. Son is joined by five other agents who are charged with secretly policing the world and keeping civilization from crumbling completely."
10th Dimension Boys,Cutbu,comedy,9.34,1037144.0,118607.0,31497858.0,"In another dimension, anything can happen in your daily life. Absurdly funny, the boys from the 10th dimension are up to no good again."
11 of Me,"Jaeyeong Yeong, Jiae Go",supernatural,8.81,228486.0,105711.0,1698015.0,"To Gibeom’s surprise, the mechanical calculator he bought working at a junkyard turns out to be a time machine! With the time machine, he sets out to find and bring together his past selves. Currently, all 11 versions of Gibeom are living together peacefully, but unexpected problems materialize as Gibeom(s) interacts with people outside of his circle..."
1111 Animals,1111,comedy,8.89,276446.0,51148.0,7305626.0,The secret lives of animals
1HP Club,elfboi,fantasy,9.64,7992424.0,755107.0,71083150.0,"A comic about the daily life of dungeon boys. Slaying the city, saving the dragons... or something like that."
2015: Space Series,Various Artists,"sci-fi, sf",9.26,70618.0,61784.0,1172916.0,Collective Comic Essays on the Universe and Beyond
21st Century Knights,Plastic Bottru,fantasy,9.41,1175706.0,225997.0,8210330.0,"Not all knights wield armor and swords; some are capable of summoning ethereal weapons known as ""Animas"". And if you are strong enough, you might be able to join the legendary Knight's Order. As part of the Knight's Order, your duty is to protect and serve the people. Theresa, however, has her own goals, and that is to find the white-haired knight. She'll make any sacrifice to do so. But what will she do when her pursuit for a single silver thread unravels the entire fabric that hides a sinister truth about knights and the world that they live in?"
23:4,TerraTerrific,supernatural,9.38,146968.0,90618.0,1308131.0,"As an angel of death, Eden is tasked with fetching human souls and leading them to judgement before they can transform into monstrous creatures known as Unresteds. He hopes his job will be easier when Celestino joins the crew, but the aspiring angel of music has other goals and refuses to cooperate. With the Unresteds growing stronger by the day, Celestino, Eden, and the other death angels must work together or face the same fate as their predecessors."
28th Century Superfan,Cutbu,comedy,9.54,336850.0,66901.0,2337440.0,"Join a struggling Author and her biggest Stan, who traveled back in time from the 28th century, in the duo’s wacky, bizarre, topsy-turvy, and wild roller-coaster adventure. Together, will they end up creating the best-seller novel of all time? Join their comedic journey to find out!

This series contains crude humor that might not be suitable for all audiences. Viewer discretion is advised."
3-Second Strip,"BAE jin soo, Bae Jin-Soo",comedy,8.51,905165.0,68162.0,17304351.0,Just spend three seconds of your day on this three-panel comic!
30 Minutes With You,ondo,romance,9.76,751501.0,82441.0,4747579.0,"Seongeun has always walked home alone from Galaxy Academy... that is until she met Gubong! Now, the two of them spend 30 minutes walking home together once a week. This 30-minute walk home becomes an exciting time for both of them as their friendship grows... into a budding romance?"
3X3!,MNYujacha,comedy,9.50,105883.0,48246.0,788309.0,"Ménage à trois? More like menace à trois! As a bashful, introverted BL lover, all Minji Kim ever wanted for her final year of middle school was to be left alone to draw dinosaur-themed superhero smut -- Ahem, tasteful fanfiction. So exactly how she became part of the so-called Future Vision Club with school rebel Hae-in Shin and straight-laced student Jisu Han, she’ll never quite understand. The only thing that’s clear is that the year ahead promises to be unforgettable, to say the least! So, prepare for trouble and make it… triple?

"
"66,666 Years: Advent of the Dark Mage","BAEKSSE, Dopack, Hwabong",fantasy,9.72,5288910.0,694686.0,54215159.0,"Diablo Volpir, a powerful dark mage, was defeated and sealed away in a battle against the 12 gods. He finally wakes up from his sleep 66,666 years later, however, in the body of a newborn baby, Jamie Welton! 9 years later, with a fraction of power he once held and with the loving family and peaceful environment he is now surrounded by, Jamie plans to exact revenge against the 12 gods that had sealed him away."
6th Degree,vultie!,action,9.50,312872.0,161155.0,3721730.0,"What is the price of revenge? Kris knows she’s different but lives in the dark about her power, controlled by her father’s supervision and her job as “The Cleaner,” doing the dirty work of the Hyuu Police Department. When she finally has a chance to learn more about herself, her father is murdered by a vicious crime syndicate. Eden, the chairwoman of a rival crime family, gives Kris another chance at life. With vengeance on her mind, will Kris adapt to her new life in the underworld, or will she fall deeper into the pit?"
7FATES: CHAKHO,HYBE,fantasy,9.86,2678393.0,1585911.0,34703779.0,"In the corrupt city of Sin-si, Zeha suddenly wakes up in a hospital, unable to recall anything that happened after speaking with a mysterious man one night. He soon learns that strange beings called beom are wreaking havoc on the city. As destiny brings seven boys together, will they succeed in ending this fight, once and for all? Let the hunting begin!"
A Bittersweet Life,Donggeon Lee,"slice of life, slice_of_life",9.31,483157.0,97637.0,6995101.0,"A collection of sweet stories about couples and singles, office workers and unemployed people. 
 But be warned: there's more than a touch of bitterness here."
A Budgie's Life,Muffin Girl,slice of life,9.79,7300000.0,337600.0,66800000.0,"When it comes to birds we think they are just fluttering little creatures who have no contact with humans whatsoever. But bird owners know that's not true! Like pet dogs and cats, birds have a personality of their own.."
A Chance At Last,"Dindon, Seo hye eun",romance,9.49,1512092.0,273561.0,14423445.0,"Sisters Ju-eun and Hyejin grew up in absolute poverty. After their mother’s death, Hyejin accepts the offer to join their estranged father’s wealthy family. But when Hyejin turns out dead just three years later, Ju-eun is grief-stricken. She grabs at the chance to travel back in time and take her sister’s place where she meets the kind but mysterious Iho."
