Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
Revelations,,,,,,,,,,,,,,,,,,,
Child Shopping,2025,8,,,,,,,,,,,,,,,,,
The Garden of Harmony,2025,16,,,,,,,,,,,,,,,,,
The Great Ok Sook,,,,,,,,,,,,,,,,,,,
Manager Kim,,,,,,,,,,,"Jeongjongtaek, Toy",action,9.75,33203991,2633073,0.079,449164,0.025,"Single father, company manager, and former black-ops member, Mr. Kim lived an ordinary life until his daughter, Minji, went missing. After discovering his daughter could be dead, Mr. Kim turns merciless and sets out for information. He will rescue his daughter by any means necessary, even if it means destroying everything and everyone standing in his path."
Forest of Humans,,,,,,,,,,,Junho Hwang,thriller,9.53,3183246,385905,0.121,124853,0.003,A secret experiment on serial killers conducted in the woods? What could possibly go wrong? Follow one young researcher's descent into madness and self-doubt as she attempts to escape a locked facility with ten bloodthirsty murderers. Will she make it out with her humanity intact?
The Fugitives,,,,,,,,,,,,,,,,,,,
Dear Actresses,,,,,,,,,,,,,,,,,,,
Straightforward to the God Farming,,,,,,,,,,,,,,,,,,,
The Villainess's Debut Novel,,,,,,,,,,,,,,,,,,,
1 Second,,,,,,,,,,,"kwang woon, sini",action,9.63,7453573,1091942,0.146,123223,0.006,Every second counts when you're a first responder. But what if you could see a glimpse into the future? Hosu is a firefighter with the supernatural ability to do just that. There’s just one catch. It only works when he feels extreme stress under pressure. Will knowing what will happen ahead of time help Hosu extinguish fires before they completely destroy homes and lives? And will he learn to wield his ability when he needs it most?
Get Back,,,,,,,,,,,,,,,,,,,
Spirit Fingers,0,12,,,,,,,,,"Han Kyoung Chal, han kyoung chal",drama,9.91,37479668,5724285,0.153,377645,0.030,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked outâ€¦OR, if you're Amy Song you could join up with the Spirit Fingers , the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting."
Master of the Wind and Moon,,,,,,,,,,,,,,,,,,,
ImmortalDays,,,,,,,,,,,,,,,,,,,
Bastard,,,,,,,,,,,"Carnby Kim, Youngchan Hwang",thriller,9.87,150388974,8084807,0.054,1746388,0.108,There is a serial killer in my house!
Pleasant Outcast,0,10,,,,,,,,,,,,,,,,,
Heesu in Class 2,2025,10,,,,,,,,,,,,,,,,,
Vampire Chef,,,,,,,,,,,,,,,,,,,
Aquaman,0,12,,,,,,,,,,,,,,,,,
Dead Man's Letter,,,,,,,,,,,,,,,,,,,
Low Life,2025,10,,,,,,,,,,,,,,,,,
Study Group,2025,10,,,,,,,,,"Hyungwuk Shin, Seungyeon Ryu",action,9.74,57154965,4167964,0.073,914972,0.042,"Nicknamed the “school for future criminals,” Yusung Technical High School isn’t exactly the ideal place to study. A rarity among his peers, Gamin is a student with just one goal: to get into university. At a school where it’s every man for himself, he is rejected from countless study groups before he decides to form his own. When Hankyeong, Gamin’s former tutor, joins his high school in hopes of earning her teacher certification, it seems like they’re both reaching for the impossible. Can they defeat the odds and achieve their dreams?

"
Cashero,,,,,,,,,,,,,,,,,,,
Mercy for None,2025,8,,,,,,,,,,,,,,,,,
Taxi Driver Season 3,2025,16,,,,,,,,,,,,,,,,,
Friendly Rivalry,2025,16,,,,,,,,,,,,,,,,,
Karma,2025,6,,,,,,,,,,,,,,,,,
New Generation War: Reawakened,,,,,,,,,,,,,,,,,,,
My Dearest Nemesis,2025,12,,,,,,,,,,,,,,,,,
Weak Hero Class 2,2025,8,,,,,,,,,,,,,,,,,
One: High School Heroes,2025,8,,,,,,,,,,,,,,,,,
The Mermaid I Loved,0,14,,,,,,,,,,,,,,,,,
S Line,2025,6,,,,,,,,,,,,,,,,,
Light Shop,2024,8,,,,,,,,,,,,,,,,,
Hellbound Season 2,2024,6,,,,,,,,,,,,,,,,,
Jeongnyeon: The Star Is Born,2024,12,,,,,,,,,,,,,,,,,
Cinderella at 2 AM,2024,10,,,,,,,,,,,,,,,,,
Perfect Family,2024,12,,,,,,,,,,,,,,,,,
Serendipity's Embrace,2024,8,,,,,,,,,,,,,,,,,
Sweet Home Season 3,2024,8,,,,,,,,,,,,,,,,,
The 8 Show,2024,8,,,,,,,,,,,,,,,,,
The Time of Fever    9.0,,,,,,,,,,,,,,,,,,,
Dare to Love Me,2024,16,,,,,,,,,,,,,,,,,
Begins Youth,2024,12,,,,,,,,,,,,,,,,,
Boys Be Brave!,2024,8,,,,,,,,,,,,,,,,,
Parasyte: The Grey,2024,6,,,,,,,,,,,,,,,,,
Please Teach Me    7.0,2024,64,,,,,,,,,,,,,,,,,
Jazz for Two,2024,8,,,,,,,,,,,,,,,,,
Chicken Nugget,2024,10,,,,,,,,,,,,,,,,,
Pyramid Game,2024,10,,,,,,,,,Dalgonyak,drama,9.62,17398937,2623261,0.151,314847,0.014,"Every Thursday afternoon, once a month, students at Love High cast their votes in a popularity poll. The result? A brutal ranking system that determines the entire social hierarchy of the school. After starting at the bottom, can new transfer student Suji make her way to the top of the pyramid? Or will she topple the game altogether?"
Wedding Impossible,2024,12,,,,,,,,,,,,,,,,,
A Killer Paradox,2024,8,,,,,,,,,kkomabi,thriller,8.93,716690,93235,0.130,29759,0.001,"A man wakes up, tied to a crucifix. He’s a district attorney, held prisoner by a serial killer named Tang Lee. Why is he there? And who is this twitchy man staring him down?
As the story unfolds, we follow Tang Lee’s descent from average nobody to murderer. The catch? All of his victims are revealed to be criminals, rapists, and killers who had escaped justice.
Is Tang an angel of retribution? Or is it all in his mind? At every turn, a new dark corner of society’s decay comes to light in this twisted thriller.
"
Love for Love's Sake,2024,8,,,,,,,,,,,,,,,,,
Death's Game Part 2,2024,4,,,,,,,,,,,,,,,,,
Love Song for Illusion,2024,16,,,,,,,,,VANZIUN,fantasy,9.34,3001715,337118,0.112,122413,0.002,"Wol Yeon of the great Yeon clan in the Kingdom of Asatae is a spirited girl who dreams of becoming a general one day. Her dreams are crushed when the royal government mercilessly eradicates her clan, murdering everyone, including Wol’s parents. Wol is left with no one she can trust but her tutor Jae-i, who proceeds to raise and train her as a master assassin so that she may take revenge against the king. Eight years later, Wol successfully infiltrates the palace to kill the king, only to find that all is not as it seems… "
Marry My Husband    9.0,2024,16,,,,,,,,,,,,,,,,,
