Title,Genre,Creators,Views,Likes,Subscribers,Rating,Release Date,Schedule,Synopsis
3X3!,comedy,MNYujacha,788309.0,105883,48246,9.5,,Tuesday,"Ménage à trois? More like menace à trois! As a bashful, introverted BL lover, all Minji Kim ever wanted for her final year of middle school was to be left alone to draw dinosaur-themed superhero smut -- Ahem, tasteful fanfiction. So exactly how she became part of the so-called Future Vision Club with school rebel Hae-in Shin and straight-laced student Jisu Han, she’ll never quite understand. The only thing that’s clear is that the year ahead promises to be unforgettable, to say the least! So, prepare for trouble and make it… triple?

"
"66,666 Years: Advent of the Dark Mage",fantasy,"BAEKSSE, Dopack, Hwabong",54215159.0,5288910,694686,9.72,,Wednesday,"Diablo Volpir, a powerful dark mage, was defeated and sealed away in a battle against the 12 gods. He finally wakes up from his sleep 66,666 years later, however, in the body of a newborn baby, Jamie Welton! 9 years later, with a fraction of power he once held and with the loving family and peaceful environment he is now surrounded by, Jamie plans to exact revenge against the 12 gods that had sealed him away."
"66,666 Years:Advent of the Dark Mage",fantasy,,8100000.0,1000000,368980,9.75,2021.0,,"Diablo Volpir, a powerful dark mage, was defeated and sealed away in a battle against the 12 gods. He finally wakes up from his sleep 66,666 years later, however, in the body of a newborn baby, Jamie Welton! 9 years later, with a fraction of power he once held and with the loving family and peaceful environment he is now surrounded by, Jamie plans to exact revenge against the 12 gods that had sealed him away."
6th Degree,action,vultie!,3721730.0,312872,161155,9.5,,Saturday,"What is the price of revenge? Kris knows she’s different but lives in the dark about her power, controlled by her father’s supervision and her job as “The Cleaner,” doing the dirty work of the Hyuu Police Department. When she finally has a chance to learn more about herself, her father is murdered by a vicious crime syndicate. Eden, the chairwoman of a rival crime family, gives Kris another chance at life. With vengeance on her mind, will Kris adapt to her new life in the underworld, or will she fall deeper into the pit?"
7FATES: CHAKHO,fantasy,HYBE,34703779.0,2678393,1585911,9.86,2022.0,Saturday,"In the corrupt city of Sin-si, Zeha suddenly wakes up in a hospital, unable to recall anything that happened after speaking with a mysterious man one night. He soon learns that strange beings called beom are wreaking havoc on the city. As destiny brings seven boys together, will they succeed in ending this fight, once and for all? Let the hunting begin!"
A Bittersweet Life,slice of life,Donggeon Lee,6995101.0,483157,97637,9.31,2014.0,"Saturday, Sunday","A collection of sweet stories about couples and singles, office workers and unemployed people. 
 But be warned: there's more than a touch of bitterness here."
A Budgie's Life,slice of life,Muffin Girl,66800000.0,7300000,342445,9.79,2017.0,,"When it comes to birds we think they are just fluttering little creatures who have no contact with humans whatsoever. But bird owners know that's not true! Like pet dogs and cats, birds have a personality of their own.."
A Chance At Last,romance,"Dindon, Seo hye eun",14423445.0,1512092,273561,9.49,2022.0,Wednesday,"Sisters Ju-eun and Hyejin grew up in absolute poverty. After their mother’s death, Hyejin accepts the offer to join their estranged father’s wealthy family. But when Hyejin turns out dead just three years later, Ju-eun is grief-stricken. She grabs at the chance to travel back in time and take her sister’s place where she meets the kind but mysterious Iho."
A Child Who Looks Like Me,romance,"FLADA, PATNOC",11541676.0,920323,486033,9.56,,Friday,"A surprise pregnancy sends Jeong-o, a college junior, into a panic. Her supportive boyfriend Jiheon plans a loving proposal, but a car accident erases his recent memories, including their romance. Seven years later, they reunite unexpectedly—but Jiheon has no recollection of Jeong-o or the fact that they share a precious daughter between them."
A Couple of Obligations,romance,"ASONA, Eun, GULDAK, Pinku",5411439.0,453781,185287,8.58,,Thursday,"“I will marry you, but I have no intention to share a bed with you.”
The charismatic princess of Bashar meets the sharpest sword of the empire!
The life of the two newlyweds united for alliance is a battle in itself.
The tingling thriller of a romance between two brave and beautiful individuals who have never loved unfolds!"
