title_id,Title,Genre,Creators,Schedule,Subscribers,Rating,Views,Likes,Status,daily_pass,Synopsis
7692,In the Spirit of the Law,DRAMA,"MyeongSeok,Yeonsaeng",SUNDAY,22088,9.05,156694,17045,ONGOING,FALSE,"After a mysterious accident on a scorching summer day, high school student Jaehun wakes up to a startling discovery - his soul is now sharing his body with that of an enigmatic ascetic. Over the next three years, Jaehun adjusts to life with his unexpected companion while undergoing rehabilitation. Just as he begins to settle into this strange new reality, he faces a pivotal moment: choosing his path for college. A conversation with his defense attorney father opens the door to a world he had never considered before.
"
7690,The Emperor's Puppy,FANTASY,"Lee huin,muneobal,Namdogyeom",WEDNESDAY,73685,8.92,779019,73297,ONGOING,FALSE,"Many people dream of being reborn as a princess in another world. And Hari, an ordinary woman, finds herself in that exact situation… or so she thought. Instead of flowy hair and the beautiful face of a princess, she has stubby limbs and shiny black toe beans. Yup, she’s been reincarnated in a palace in another world as a dog. And a talking one, at that! Will she be able to survive as the pet of the emperor rumored to be a ruthless tyrant? Will she ever be able to turn into a human? Find out in this humorous story about a little talking puppy living in a fantasy world!"
7689,Holding You Close,ROMANCE,"LICO,dotory",WEDNESDAY,103680,7.99,932397,70983,ONGOING,FALSE,"After three failed marriages, Archduke Theo de Phoenix has long accepted that love simply isn’t in the cards for him. After all, who could love a war-hardened monster like him? So when his fourth bride arrives, he greets her covered in blood, gives her a shabby attic for a room, and keeps his distance. Surely, this one will run too. But Yuelina is not like the others. To Theo’s disbelief, she welcomes his presence and fills his cold world with warmth and light. As the walls around his heart begin to thaw, will Theo finally allow himself to love?"
7688,"I'm a Villainess, but I Won't Live Like One",ROMANCE,"Studio wooridle,Hwang DoTol",WEDNESDAY,249905,9.29,2362790,172688,ONGOING,FALSE,"Bianca is just another noble lady with a simple dream: to marry into a dukedom and enjoy a life of luxury. But everything changes when she stumbles upon a book—one that casts her as the villainess, doomed to stand in the way of her real-life fiancé’s love story with a commoner girl. As Bianca realizes the book accurately depicts her own fate, she refuses to accept her tragic ending. Can she rewrite her story, or is she simply destined to become a villainess?"
7687,Death Is My BFF ,SUPERNATURAL,"Katarina E. Tonks,Kisai Entertainment,KrisantiComics",MONDAY,46188,8.12,203569,12284,ONGOING,FALSE,"On the night of her eighteenth birthday, Faith Williams meets the boy of her nightmares — Death himself. 

Unbeknownst to her, Death has come to collect on a forgotten promise Faith made long ago. But when she refuses to comply, Faith's reality twist into something unrecognizable.  

Torn between Death’s dark pull and her growing connection to David Star— a golden boy with secrets of his own - Faith is left questioning everything and everyone. 

With the truth buried in her past, Faith must uncover who she really is...before Death finally claims what he was promised."
7686,Fantasy High,COMEDY,"Dimension 20,Denaseey,Derek V. Song,Alex Brennan-Dent,SZ,Starpiper,Nisaa,WmW",TUESDAY,168023,9.8,1135997,112909,ONGOING,FALSE,"When girls at Aguefort Adventuring Academy go missing, six heroes who meet in detention band together to investigate their new high school for clues. This gang of self-anointed “Bad Kids” sets off on a wild journey, encountering vicious corn chowder and debaucherous wizards, among other perils that threaten their lives and the world they know and love. Based on the hit Dimension 20 show helmed by Brennan Lee Mulligan."
7685,They Called Us Enemy,GRAPHIC_NOVEL,Top Shelf Productions,SUNDAY,11258,9.54,27071,3901,ONGOING,FALSE,"George Takei has captured hearts and minds worldwide with his captivating stage presence and outspoken commitment to equal rights. But long before he braved new frontiers in Star Trek, he woke up as a four-year-old boy to find his own birth country at war with his father's—and their entire family forced from their home into an uncertain future. In a stunning graphic memoir, Takei revisits his haunting childhood in American concentration camps, as one of over 100,000 Japanese Americans imprisoned by the U.S. government during World War II. Experience the forces that shaped an American icon—and America itself—in this gripping tale of courage, country, loyalty, and love."
7684,Godzilla: Unnatural Disasters,GRAPHIC_NOVEL,IDW Publishing,SATURDAY,16320,9.5,36726,3234,ONGOING,FALSE,"The King of the Monsters is back in this compendium collecting three series: Legends, In Hell, and Rage Across Time! In a world where monsters roam freely, some stories have been lost to time... until NOW! In Legends, the kaiju of Godzilla's fearsome rogues gallery get the spotlight. Featuring Anguirus, Rodan, Titanosaurus, Hedorah, and Kumonga! Then, meet Godzilla's greatest adversary of all time‚ the impossible tortures of Hell! It's a monster battle that takes you through the depths of the underworld. Move over dinosaurs... monsters used to rule the planet! In Rage Across Time, travel to different time periods to examine the origin of myths that fueled nightmares: Feudal Japan, ancient Greece, medieval England, and classic Rome!"
7683,Sonic the Hedgehog,GRAPHIC_NOVEL,IDW Publishing,THURSDAY,72005,9.8,212057,22358,ONGOING,FALSE,"The evil genius Dr. Eggman has been foiled — but the work of Sonic the Hedgehog isn’t over yet! In the aftermath of the latest epic battle, rogue robots continue to attack small villages around the world. In order to defeat them, Sonic will need the help of his friends Tails, Knuckles, and Amy, along with some new and surprising allies. This new collection features the Blue Blur like you’ve never seen him before. Gotta go fast!"
7682,Locke and Key,GRAPHIC_NOVEL,IDW Publishing,WEDNESDAY,11130,8.76,21690,2681,ONGOING,FALSE,"Locke & Key tells a sprawling tale of magic and family, legacy and grief, good and evil. Acclaimed suspense novelist and New York Times best-selling author Joe Hill (The Fireman, Heart-Shaped Box) has created a gripping story of dark fantasy and wonder—with astounding artwork from Gabriel Rodriguez—that, like the doors of Keyhouse, will transform all who open it."
7680,Beneath the Trees Where Nobody Sees,GRAPHIC_NOVEL,IDW Publishing,TUESDAY,27661,9.57,116963,13883,ONGOING,FALSE,"Don’t. Murder. The locals.
This is small-town serial killer, upstanding citizen, and adorable brown bear Samantha Strong’s cardinal rule. After all, there’s a sea of perfectly ripe potential victims in the big city just beyond the forest, and when you’ve worked as hard as Sam to build a cozy life and a thriving business in a community surrounded by friendly fellow animal folk, warm decor, and the aroma of cedar trees and freshly baked apple pie…the last thing you want is to disturb the peace.
So you can imagine her indignation when one of Woodbrook’s own meets a grisly, mysterious demise—and you wouldn’t blame her for doing anything it takes to hunt down her rival before the town self-destructs and Sheriff Patterson starts (literally) barking up the wrong tree.
Cute critters aren’t immune to crime in this original graphic novel debut by writer-artist Patrick Horvath."
